244: reward=94.34 vs 0.10, winner=red, r_win=4:21:25, win=20:100:124, time=93/28639
245: reward=0.00 vs 0.00, winner=draw, r_win=4:21:25, win=20:100:125, time=77/28717
246: reward=1.00 vs 0.00, winner=draw, r_win=4:20:26, win=20:100:126, time=122/28839
247: reward=0.00 vs 0.00, winner=draw, r_win=4:20:26, win=20:100:127, time=115/28954
248: reward=1.00 vs 91.59, winner=blue, r_win=4:21:25, win=20:101:127, time=113/29067
249: reward=1.00 vs 91.37, winner=blue, r_win=4:21:25, win=20:102:127, time=116/29182
250: reward=1.00 vs 0.10, winner=draw, r_win=4:20:26, win=20:102:128, time=136/29318
251: reward=0.00 vs 0.00, winner=draw, r_win=4:19:27, win=20:102:129, time=93/29411
252: reward=0.00 vs 0.00, winner=draw, r_win=4:19:27, win=20:102:130, time=72/29483
253: reward=1.00 vs 0.10, winner=draw, r_win=4:18:28, win=20:102:131, time=107/29590
254: reward=2.08 vs 90.08, winner=blue, r_win=4:19:27, win=20:103:131, time=151/29741
255: reward=1.50 vs 0.10, winner=draw, r_win=4:18:28, win=20:103:132, time=130/29871
256: reward=1.00 vs 88.17, winner=blue, r_win=4:19:27, win=20:104:132, time=164/30036
257: reward=0.00 vs 0.00, winner=draw, r_win=4:18:28, win=20:104:133, time=109/30145
258: reward=1.00 vs 0.00, winner=draw, r_win=4:18:28, win=20:104:134, time=81/30226
259: reward=0.00 vs 0.00, winner=draw, r_win=4:18:28, win=20:104:135, time=128/30354
260: reward=1.00 vs 89.67, winner=blue, r_win=4:19:27, win=20:105:135, time=141/30495
261: reward=1.00 vs 0.00, winner=draw, r_win=3:19:28, win=20:105:136, time=91/30585
262: reward=1.00 vs 0.10, winner=draw, r_win=3:19:28, win=20:105:137, time=91/30676
263: reward=1.00 vs 0.00, winner=draw, r_win=3:19:28, win=20:105:138, time=86/30762
264: reward=1.50 vs 89.92, winner=blue, r_win=3:20:27, win=20:106:138, time=138/30900
265: reward=93.02 vs 0.00, winner=red, r_win=4:20:26, win=21:106:138, time=111/31012
266: reward=0.00 vs 92.78, winner=blue, r_win=4:21:25, win=21:107:138, time=95/31107
267: reward=0.00 vs 0.00, winner=draw, r_win=4:21:25, win=21:107:139, time=116/31222
268: reward=1.00 vs 0.00, winner=draw, r_win=4:20:26, win=21:107:140, time=76/31299
269: reward=2.08 vs 89.60, winner=blue, r_win=4:20:26, win=21:108:140, time=159/31458
270: reward=1.00 vs 90.03, winner=blue, r_win=4:20:26, win=21:109:140, time=136/31593
271: reward=1.00 vs 0.10, winner=draw, r_win=4:19:27, win=21:109:141, time=117/31710
272: reward=1.00 vs 0.10, winner=draw, r_win=3:19:28, win=21:109:142, time=139/31849
273: reward=0.00 vs 0.00, winner=draw, r_win=3:19:28, win=21:109:143, time=117/31966
274: reward=1.00 vs 92.44, winner=blue, r_win=3:19:28, win=21:110:143, time=100/32067
275: reward=1.00 vs 90.03, winner=blue, r_win=2:20:28, win=21:111:143, time=136/32202
276: reward=1.00 vs 92.13, winner=blue, r_win=2:21:27, win=21:112:143, time=105/32307
277: reward=1.00 vs 0.10, winner=draw, r_win=2:20:28, win=21:112:144, time=152/32460
278: reward=1.00 vs 0.10, winner=draw, r_win=2:20:28, win=21:112:145, time=103/32562
279: reward=1.50 vs 90.21, winner=blue, r_win=2:21:27, win=21:113:145, time=133/32696
280: reward=0.00 vs 0.00, winner=draw, r_win=2:21:27, win=21:113:146, time=94/32790
281: reward=2.08 vs 89.43, winner=blue, r_win=2:21:27, win=21:114:146, time=146/32935
282: reward=0.00 vs 91.17, winner=blue, r_win=2:22:26, win=21:115:146, time=118/33053
283: reward=1.00 vs 91.44, winner=blue, r_win=2:23:25, win=21:116:146, time=115/33168
284: reward=1.83 vs 90.70, winner=blue, r_win=2:24:24, win=21:117:146, time=141/33309
285: reward=0.00 vs 92.83, winner=blue, r_win=2:24:24, win=21:118:146, time=95/33404
286: reward=1.83 vs 89.77, winner=blue, r_win=2:24:24, win=21:119:146, time=140/33544
287: reward=1.00 vs 91.52, winner=blue, r_win=2:24:24, win=21:120:146, time=114/33658
288: reward=1.00 vs 92.59, winner=blue, r_win=2:24:24, win=21:121:146, time=98/33756
