273: reward=-31.95 vs 90.09, winner=blue, r_win=0:49:1, win=4:251:18, time=191/63086
274: reward=-36.71 vs 94.77, winner=blue, r_win=0:49:1, win=4:252:18, time=122/63209
275: reward=-33.69 vs 92.03, winner=blue, r_win=0:49:1, win=4:253:18, time=161/63370
276: reward=-34.53 vs 93.23, winner=blue, r_win=0:49:1, win=4:254:18, time=175/63545
277: reward=-30.44 vs 86.91, winner=blue, r_win=0:49:1, win=4:255:18, time=325/63869
278: reward=-31.98 vs 90.15, winner=blue, r_win=0:49:1, win=4:256:18, time=190/64059
279: reward=-29.86 vs 90.10, winner=blue, r_win=0:49:1, win=4:257:18, time=319/64378
280: reward=-30.39 vs 88.28, winner=blue, r_win=0:50:0, win=4:258:18, time=338/64715
281: reward=-33.85 vs 90.02, winner=blue, r_win=0:50:0, win=4:259:18, time=195/64910
282: reward=-34.67 vs 92.06, winner=blue, r_win=0:50:0, win=4:260:18, time=162/65072
283: reward=-34.78 vs 92.34, winner=blue, r_win=0:50:0, win=4:261:18, time=158/65230
284: reward=-31.98 vs 90.15, winner=blue, r_win=0:50:0, win=4:262:18, time=190/65420
285: reward=-34.31 vs 91.16, winner=blue, r_win=0:50:0, win=4:263:18, time=176/65596
286: reward=-31.90 vs 89.95, winner=blue, r_win=0:50:0, win=4:264:18, time=193/65789
287: reward=-33.53 vs 91.61, winner=blue, r_win=0:50:0, win=4:265:18, time=168/65957
288: reward=-32.69 vs 91.93, winner=blue, r_win=0:50:0, win=4:266:18, time=161/66118
289: reward=-8.40 vs -8.40, winner=draw, r_win=0:49:1, win=4:266:19, time=965/67082
290: reward=-32.15 vs 88.18, winner=blue, r_win=0:49:1, win=4:267:19, time=225/67307
291: reward=-34.72 vs 92.20, winner=blue, r_win=0:49:1, win=4:268:19, time=160/67467
