212: reward=0.00 vs 71.74, recent_win=1 vs 39, winner=blue, win=13 vs 184, draw=15, time=500/101797
213: reward=0.00 vs 0.00, recent_win=1 vs 39, winner=draw, win=13 vs 184, draw=16, time=377/102174
214: reward=0.00 vs 68.87, recent_win=1 vs 39, winner=blue, win=13 vs 185, draw=16, time=585/102758
215: reward=66.30 vs 0.00, recent_win=2 vs 38, winner=red, win=14 vs 185, draw=16, time=673/103431
216: reward=0.00 vs 62.38, recent_win=2 vs 38, winner=blue, win=14 vs 186, draw=16, time=838/104269
217: reward=71.00 vs 0.00, recent_win=3 vs 37, winner=red, win=15 vs 186, draw=16, time=521/104789
218: reward=0.00 vs 69.09, recent_win=3 vs 37, winner=blue, win=15 vs 187, draw=16, time=578/105367
219: reward=0.00 vs 71.21, recent_win=3 vs 37, winner=blue, win=15 vs 188, draw=16, time=515/105881
220: reward=0.00 vs 81.11, recent_win=3 vs 38, winner=blue, win=15 vs 189, draw=16, time=285/106166
221: reward=0.00 vs 67.95, recent_win=3 vs 38, winner=blue, win=15 vs 190, draw=16, time=615/106781
222: reward=0.00 vs 69.51, recent_win=3 vs 38, winner=blue, win=15 vs 191, draw=16, time=565/107345
223: reward=0.00 vs 61.83, recent_win=3 vs 38, winner=blue, win=15 vs 192, draw=16, time=865/108210
224: reward=0.00 vs 74.93, recent_win=3 vs 38, winner=blue, win=15 vs 193, draw=16, time=418/108627
225: reward=0.00 vs 79.50, recent_win=3 vs 38, winner=blue, win=15 vs 194, draw=16, time=317/108944
226: reward=0.00 vs 76.34, recent_win=3 vs 38, winner=blue, win=15 vs 195, draw=16, time=385/109329
227: reward=0.00 vs 74.23, recent_win=3 vs 38, winner=blue, win=15 vs 196, draw=16, time=435/109763
228: reward=0.00 vs 71.03, recent_win=3 vs 38, winner=blue, win=15 vs 197, draw=16, time=520/110283
229: reward=73.36 vs 0.00, recent_win=4 vs 37, winner=red, win=16 vs 197, draw=16, time=457/110739
230: reward=0.00 vs 75.65, recent_win=4 vs 38, winner=blue, win=16 vs 198, draw=16, time=401/111140
231: reward=0.00 vs 80.86, recent_win=4 vs 39, winner=blue, win=16 vs 199, draw=16, time=290/111430
232: reward=79.60 vs 0.00, recent_win=5 vs 38, winner=red, win=17 vs 199, draw=16, time=315/111744
233: reward=0.00 vs 73.05, recent_win=5 vs 38, winner=blue, win=17 vs 200, draw=16, time=465/112209
234: reward=0.00 vs 72.86, recent_win=5 vs 38, winner=blue, win=17 vs 201, draw=16, time=470/112678
235: reward=0.00 vs 76.43, recent_win=5 vs 38, winner=blue, win=17 vs 202, draw=16, time=383/113061
236: reward=0.00 vs 61.16, recent_win=5 vs 39, winner=blue, win=17 vs 203, draw=16, time=900/113961
237: reward=0.00 vs 69.97, recent_win=5 vs 39, winner=blue, win=17 vs 204, draw=16, time=551/114511
238: reward=0.00 vs 71.74, recent_win=5 vs 39, winner=blue, win=17 vs 205, draw=16, time=500/115011
239: reward=79.85 vs 0.00, recent_win=6 vs 38, winner=red, win=18 vs 205, draw=16, time=310/115320
240: reward=0.00 vs 0.00, recent_win=6 vs 37, winner=draw, win=18 vs 205, draw=17, time=399/115719
241: reward=0.00 vs 0.00, recent_win=6 vs 36, winner=draw, win=18 vs 205, draw=18, time=438/116157
242: reward=71.38 vs 0.00, recent_win=7 vs 36, winner=red, win=19 vs 205, draw=18, time=510/116666
243: reward=0.00 vs 67.08, recent_win=7 vs 36, winner=blue, win=19 vs 206, draw=18, time=645/117311
244: reward=0.00 vs 70.24, recent_win=7 vs 36, winner=blue, win=19 vs 207, draw=18, time=543/117853
245: reward=0.00 vs 69.03, recent_win=7 vs 37, winner=blue, win=19 vs 208, draw=18, time=580/118433
246: reward=0.00 vs 72.86, recent_win=7 vs 37, winner=blue, win=19 vs 209, draw=18, time=470/118903
