219: reward=0.95 vs 0.90, win=5 vs 192, recent_win=0 vs 48, draw=22, winner=blue, time=93/17962
220: reward=0.95 vs 1.00, win=5 vs 193, recent_win=0 vs 48, draw=22, winner=blue, time=61/18023
221: reward=1.00 vs 0.90, win=5 vs 194, recent_win=0 vs 48, draw=22, winner=blue, time=76/18099
222: reward=1.00 vs 1.00, win=5 vs 195, recent_win=0 vs 48, draw=22, winner=blue, time=61/18161
223: reward=1.00 vs 1.00, win=5 vs 196, recent_win=0 vs 48, draw=22, winner=blue, time=69/18229
224: reward=1.00 vs 1.00, win=5 vs 197, recent_win=0 vs 48, draw=22, winner=blue, time=61/18290
225: reward=-0.05 vs 2.00, win=5 vs 198, recent_win=0 vs 48, draw=22, winner=blue, time=69/18359
226: reward=-0.10 vs 2.00, win=5 vs 199, recent_win=0 vs 48, draw=22, winner=blue, time=84/18443
227: reward=2.00 vs -0.20, win=5 vs 200, recent_win=0 vs 48, draw=22, winner=blue, time=70/18513
228: reward=2.00 vs 1.00, win=5 vs 201, recent_win=0 vs 48, draw=22, winner=blue, time=61/18574
229: reward=2.00 vs 1.00, win=5 vs 202, recent_win=0 vs 48, draw=22, winner=blue, time=70/18644
230: reward=1.00 vs 0.90, win=5 vs 203, recent_win=0 vs 48, draw=22, winner=blue, time=76/18720
231: reward=3.00 vs 0.70, win=5 vs 204, recent_win=0 vs 48, draw=22, winner=blue, time=165/18885
232: reward=0.90 vs 0.70, win=5 vs 204, recent_win=0 vs 47, draw=23, winner=draw, time=50/18936
233: reward=1.00 vs 0.90, win=5 vs 205, recent_win=0 vs 47, draw=23, winner=blue, time=76/19012
234: reward=0.95 vs 0.90, win=5 vs 206, recent_win=0 vs 47, draw=23, winner=blue, time=86/19098
235: reward=1.00 vs 0.90, win=5 vs 207, recent_win=0 vs 47, draw=23, winner=blue, time=83/19181
236: reward=1.00 vs 1.00, win=5 vs 208, recent_win=0 vs 47, draw=23, winner=blue, time=62/19243
237: reward=1.00 vs 0.90, win=5 vs 209, recent_win=0 vs 47, draw=23, winner=blue, time=80/19323
238: reward=1.00 vs 0.90, win=5 vs 210, recent_win=0 vs 48, draw=23, winner=blue, time=87/19410
239: reward=1.00 vs 1.00, win=5 vs 211, recent_win=0 vs 48, draw=23, winner=blue, time=76/19486
240: reward=1.00 vs 0.90, win=5 vs 212, recent_win=0 vs 48, draw=23, winner=blue, time=89/19576
241: reward=2.00 vs 0.90, win=5 vs 212, recent_win=0 vs 47, draw=24, winner=draw, time=64/19640
242: reward=-0.05 vs 2.00, win=5 vs 213, recent_win=0 vs 47, draw=24, winner=blue, time=63/19703
243: reward=1.00 vs 0.90, win=5 vs 214, recent_win=0 vs 47, draw=24, winner=blue, time=76/19780
244: reward=0.90 vs 1.90, win=5 vs 215, recent_win=0 vs 47, draw=24, winner=blue, time=93/19872
245: reward=0.90 vs 1.00, win=5 vs 216, recent_win=0 vs 47, draw=24, winner=blue, time=76/19949
246: reward=0.90 vs 1.00, win=5 vs 217, recent_win=0 vs 47, draw=24, winner=blue, time=74/20023
247: reward=0.90 vs 1.00, win=5 vs 218, recent_win=0 vs 47, draw=24, winner=blue, time=69/20091
248: reward=1.00 vs 0.90, win=5 vs 219, recent_win=0 vs 47, draw=24, winner=blue, time=99/20191
249: reward=1.00 vs 1.00, win=5 vs 220, recent_win=0 vs 47, draw=24, winner=blue, time=61/20252
250: reward=1.00 vs 1.00, win=5 vs 221, recent_win=0 vs 47, draw=24, winner=blue, time=74/20326
251: reward=1.00 vs 0.90, win=5 vs 222, recent_win=0 vs 47, draw=24, winner=blue, time=94/20420
252: reward=1.00 vs 0.90, win=5 vs 223, recent_win=0 vs 47, draw=24, winner=blue, time=76/20496
253: reward=-0.10 vs 2.00, win=5 vs 224, recent_win=0 vs 47, draw=24, winner=blue, time=65/20562
